Food_description,Food_type,Energy (kcal),Water (g),Sugar (g),Vitamin C (mg),Calcium (mg),Carbohydrate (g),Protein (g),Sodium (mg),Vitamin E (mg),Copper (mg),Iron (mg),Magnesium (mg),Phosphorus (mg),Potassium (mg),Zinc (mg),Total Fat (g),Saturated_fat (g),Fiber total dietary (g)
Jicama ,Other vegetables and combinations,38,90.07,1.8,20.2,12,8.82,0.72,4,0.46,0.048,0.6,12,18,150,0.16,0.09,0.021,4.9
Cactus ,Other vegetables and combinations,16,94.12,1.15,9.3,164,3.33,1.32,21,0,0.052,0.59,52,16,257,0.25,0.09,0.016,2.2
Mushrooms ,Other vegetables and combinations,22,92.45,1.98,2.1,3,3.26,3.09,5,0.01,0.318,0.5,9,86,318,0.52,0.34,0.05,1
Pepper poblano ,Other vegetables and combinations,20,93.89,2.4,80.4,10,4.64,0.86,3,0.37,0.066,0.34,10,20,175,0.13,0.17,0.058,1.7
Kohlrabi ,Other vegetables and combinations,27,91,2.6,62,24,6.2,1.7,20,0.48,0.129,0.4,19,46,350,0.03,0.1,0.013,3.6
Pepper Serrano ,Other vegetables and combinations,32,90.25,3.83,44.9,11,6.7,1.74,10,0.69,0.129,0.86,22,40,305,0.26,0.44,0.059,3.7
Avocado ,Other vegetables and combinations,160,73.23,0.66,10,12,8.53,2,7,2.07,0.19,0.55,29,52,485,0.64,14.66,2.126,6.7
Turnip ,Other vegetables and combinations,28,91.87,3.8,21,30,6.43,0.9,67,0.03,0.085,0.3,11,27,191,0.27,0.1,0.011,1.8
Summer squash green ,Other vegetables and combinations,17,94.79,2.5,17.9,16,3.11,1.21,8,0.12,0.053,0.37,18,38,261,0.32,0.32,0.084,1
Summer squash yellow ,Other vegetables and combinations,19,94.28,2.88,19.3,21,3.88,1.01,2,0.13,0.092,0.44,20,32,222,0.29,0.27,0.093,1
Snowpeas ,Other vegetables and combinations,42,88.89,4,60,43,7.55,2.8,4,0.39,0.079,2.08,24,53,200,0.27,0.2,0.039,2.6
Seaweed ,Other vegetables and combinations,41,82.2,0.58,15,129,7.94,3.51,384,0.96,0.226,2.28,77,60,165,0.89,0.49,0.146,0.7
Rutabaga ,Other vegetables and combinations,37,89.43,4.46,25,43,8.62,1.08,12,0.3,0.032,0.44,20,53,305,0.24,0.16,0.027,2.3
Radish ,Other vegetables and combinations,16,95.27,1.86,14.8,25,3.4,0.68,39,0,0.05,0.34,10,20,233,0.28,0.1,0.032,1.6
Pepper banana ,Other vegetables and combinations,27,91.81,1.95,82.7,14,5.35,1.66,13,0.69,0.094,0.46,17,32,256,0.25,0.45,0.048,3.4
Pepper  ,Other vegetables and combinations,22,93.3,3.03,97,9,5.13,0.91,3,0.79,0.049,0.37,11,22,188,0.17,0.22,0.058,1.8
Pepper sweet green ,Other vegetables and combinations,20,93.89,2.4,80.4,10,4.64,0.86,3,0.37,0.066,0.34,10,20,175,0.13,0.17,0.058,1.7
Peach ,Peaches and nectarines,42,88.3,8.39,4.1,4,10.1,0.91,13,0.73,0.078,0.34,8,22,122,0.23,0.27,0.019,1.5
Nectarine ,Peaches and nectarines,39,89,7.89,2.9,2,9.18,1.06,13,0.61,0.082,0.3,9,26,131,0.21,0.28,0,1.5
