,fruit_name,ID,Name,Number,Unit,Code,Description,Value
163,STEAMABLE GARDEN VEGETABLE MEDLEY,1092,"Potassium, K",306,MG,LCCS,Calculated from value per serving size measure,107.0
164,STEAMABLE GARDEN VEGETABLE MEDLEY,1257,"Fatty acids, total trans",605,G,LCCS,Calculated from value per serving size measure,0.0
165,"Cucumber, raw",1004,Total lipid (fat),204,G,LCCD,Calculated from a daily value percentage per serving size measure,0.0
166,"Cucumber, raw",1087,"Calcium, Ca",301,MG,LCCD,Calculated from a daily value percentage per serving size measure,8.0
167,"Cucumber, raw",1089,"Iron, Fe",303,MG,LCCD,Calculated from a daily value percentage per serving size measure,0.15
168,"Cucumber, raw",1093,"Sodium, Na",307,MG,LCCD,Calculated from a daily value percentage per serving size measure,0.0
169,"Cucumber, raw",1104,"Vitamin A, IU",318,IU,LCCD,Calculated from a daily value percentage per serving size measure,41.0
170,"Cucumber, raw",1162,"Vitamin C, total ascorbic acid",401,MG,LCCD,Calculated from a daily value percentage per serving size measure,2.0
171,"Cucumber, raw",1253,Cholesterol,601,MG,LCCD,Calculated from a daily value percentage per serving size measure,0.0
172,"Cucumber, raw",1258,"Fatty acids, total saturated",606,G,LCCD,Calculated from a daily value percentage per serving size measure,0.0
173,"Cucumber, raw",1003,Protein,203,G,LCCS,Calculated from value per serving size measure,0.41
174,"Cucumber, raw",1005,"Carbohydrate, by difference",205,G,LCCS,Calculated from value per serving size measure,14.05
175,"Cucumber, raw",1008,Energy,208,KCAL,LCCS,Calculated from value per serving size measure,54.0
176,"Cucumber, raw",2000,"Sugars, total including NLEA",269,G,LCCS,Calculated from value per serving size measure,10.33
177,"Cucumber, raw",1079,"Fiber, total dietary",291,G,LCCS,Calculated from value per serving size measure,2.1
178,"Cucumber, raw",1092,"Potassium, K",306,MG,LCCS,Calculated from value per serving size measure,107.0
179,"Cucumber, raw",1257,"Fatty acids, total trans",605,G,LCCS,Calculated from value per serving size measure,0.0
