,fruit_name,ID,Name,Number,Unit,Value
216,"Lemon, raw",1107,"Carotene, beta",321,UG,3.0
217,"Lemon, raw",1108,"Carotene, alpha",322,UG,1.0
218,"Lemon, raw",1109,Vitamin E (alpha-tocopherol),323,MG,0.15
219,"Lemon, raw",1114,Vitamin D (D2 + D3),328,UG,0.0
220,"Lemon, raw",1120,"Cryptoxanthin, beta",334,UG,20.0
221,"Lemon, raw",1122,Lycopene,337,UG,0.0
222,"Lemon, raw",1123,Lutein + zeaxanthin,338,UG,11.0
223,"Lemon, raw",1162,"Vitamin C, total ascorbic acid",401,MG,53.0
224,"Lemon, raw",1165,Thiamin,404,MG,0.04
225,"Lemon, raw",1166,Riboflavin,405,MG,0.02
226,"Lemon, raw",1167,Niacin,406,MG,0.1
227,"Lemon, raw",1175,Vitamin B-6,415,MG,0.08
228,"Lemon, raw",1177,"Folate, total",417,UG,11.0
229,"Lemon, raw",1178,Vitamin B-12,418,UG,0.0
230,"Lemon, raw",1180,"Choline, total",421,MG,5.1
231,"Lemon, raw",1185,Vitamin K (phylloquinone),430,UG,0.0
232,"Lemon, raw",1186,Folic acid,431,UG,0.0
233,"Lemon, raw",1187,"Folate, food",432,UG,11.0
234,"Lemon, raw",1190,"Folate, DFE",435,UG,11.0
235,"Lemon, raw",1242,"Vitamin E, added",573,MG,0.0
236,"Lemon, raw",1246,"Vitamin B-12, added",578,UG,0.0
237,"Lemon, raw",1253,Cholesterol,601,MG,0.0
238,"Lemon, raw",1258,"Fatty acids, total saturated",606,G,0.039
239,"Lemon, raw",1259,4:0,607,G,0.0
240,"Lemon, raw",1260,6:0,608,G,0.0
241,"Lemon, raw",1261,8:0,609,G,0.0
242,"Lemon, raw",1262,10:0,610,G,0.0
243,"Lemon, raw",1263,12:0,611,G,0.0
244,"Lemon, raw",1264,14:0,612,G,0.001
245,"Lemon, raw",1265,16:0,613,G,0.035
246,"Lemon, raw",1266,18:0,614,G,0.002
247,"Lemon, raw",1268,18:1,617,G,0.01
248,"Lemon, raw",1269,18:2,618,G,0.063
249,"Lemon, raw",1270,18:3,619,G,0.026
250,"Lemon, raw",1271,20:4,620,G,0.0
251,"Lemon, raw",1272,22:6 n-3 (DHA),621,G,0.0
252,"Lemon, raw",1275,16:1,626,G,0.001
253,"Lemon, raw",1276,18:4,627,G,0.0
254,"Lemon, raw",1277,20:1,628,G,0.0
255,"Lemon, raw",1278,20:5 n-3 (EPA),629,G,0.0
256,"Lemon, raw",1279,22:1,630,G,0.0
257,"Lemon, raw",1280,22:5 n-3 (DPA),631,G,0.0
258,"Lemon, raw",1292,"Fatty acids, total monounsaturated",645,G,0.011
259,"Lemon, raw",1293,"Fatty acids, total polyunsaturated",646,G,0.089
260,"Mango, raw",1003,Protein,203,G,0.82
261,"Mango, raw",1004,Total lipid (fat),204,G,0.38
262,"Mango, raw",1005,"Carbohydrate, by difference",205,G,14.98
263,"Mango, raw",1008,Energy,208,KCAL,60.0
264,"Mango, raw",1018,"Alcohol, ethyl",221,G,0.0
265,"Mango, raw",1051,Water,255,G,83.46
266,"Mango, raw",1057,Caffeine,262,MG,0.0
267,"Mango, raw",1058,Theobromine,263,MG,0.0
268,"Mango, raw",2000,"Sugars, total including NLEA",269,G,13.66
269,"Mango, raw",1079,"Fiber, total dietary",291,G,1.6
270,"Mango, raw",1087,"Calcium, Ca",301,MG,11.0
271,"Mango, raw",1089,"Iron, Fe",303,MG,0.16
272,"Mango, raw",1090,"Magnesium, Mg",304,MG,10.0
273,"Mango, raw",1091,"Phosphorus, P",305,MG,14.0
274,"Mango, raw",1092,"Potassium, K",306,MG,168.0
275,"Mango, raw",1093,"Sodium, Na",307,MG,1.0
276,"Mango, raw",1095,"Zinc, Zn",309,MG,0.09
277,"Mango, raw",1098,"Copper, Cu",312,MG,0.111
278,"Mango, raw",1103,"Selenium, Se",317,UG,0.6
279,"Mango, raw",1105,Retinol,319,UG,0.0
280,"Mango, raw",1106,"Vitamin A, RAE",320,UG,54.0
281,"Mango, raw",1107,"Carotene, beta",321,UG,640.0
282,"Mango, raw",1108,"Carotene, alpha",322,UG,9.0
283,"Mango, raw",1109,Vitamin E (alpha-tocopherol),323,MG,0.9
284,"Mango, raw",1114,Vitamin D (D2 + D3),328,UG,0.0
285,"Mango, raw",1120,"Cryptoxanthin, beta",334,UG,10.0
286,"Mango, raw",1122,Lycopene,337,UG,3.0
287,"Mango, raw",1123,Lutein + zeaxanthin,338,UG,23.0
288,"Mango, raw",1162,"Vitamin C, total ascorbic acid",401,MG,36.4
289,"Mango, raw",1165,Thiamin,404,MG,0.028
290,"Mango, raw",1166,Riboflavin,405,MG,0.038
291,"Mango, raw",1167,Niacin,406,MG,0.669
292,"Mango, raw",1175,Vitamin B-6,415,MG,0.119
293,"Mango, raw",1177,"Folate, total",417,UG,43.0
294,"Mango, raw",1178,Vitamin B-12,418,UG,0.0
295,"Mango, raw",1180,"Choline, total",421,MG,7.6
296,"Mango, raw",1185,Vitamin K (phylloquinone),430,UG,4.2
297,"Mango, raw",1186,Folic acid,431,UG,0.0
298,"Mango, raw",1187,"Folate, food",432,UG,43.0
299,"Mango, raw",1190,"Folate, DFE",435,UG,43.0
300,"Mango, raw",1242,"Vitamin E, added",573,MG,0.0
301,"Mango, raw",1246,"Vitamin B-12, added",578,UG,0.0
302,"Mango, raw",1253,Cholesterol,601,MG,0.0
303,"Mango, raw",1258,"Fatty acids, total saturated",606,G,0.092
304,"Mango, raw",1259,4:0,607,G,0.0
305,"Mango, raw",1260,6:0,608,G,0.0
306,"Mango, raw",1261,8:0,609,G,0.0
307,"Mango, raw",1262,10:0,610,G,0.0
308,"Mango, raw",1263,12:0,611,G,0.001
309,"Mango, raw",1264,14:0,612,G,0.013
310,"Mango, raw",1265,16:0,613,G,0.072
311,"Mango, raw",1266,18:0,614,G,0.004
312,"Mango, raw",1268,18:1,617,G,0.075
313,"Mango, raw",1269,18:2,618,G,0.019
314,"Mango, raw",1270,18:3,619,G,0.051
315,"Mango, raw",1271,20:4,620,G,0.0
316,"Mango, raw",1272,22:6 n-3 (DHA),621,G,0.0
317,"Mango, raw",1275,16:1,626,G,0.067
318,"Mango, raw",1276,18:4,627,G,0.0
319,"Mango, raw",1277,20:1,628,G,0.0
320,"Mango, raw",1278,20:5 n-3 (EPA),629,G,0.0
321,"Mango, raw",1279,22:1,630,G,0.0
322,"Mango, raw",1280,22:5 n-3 (DPA),631,G,0.0
323,"Mango, raw",1292,"Fatty acids, total monounsaturated",645,G,0.14
324,"Mango, raw",1293,"Fatty acids, total polyunsaturated",646,G,0.071
325,"Orange, raw",1003,Protein,203,G,0.94
326,"Orange, raw",1004,Total lipid (fat),204,G,0.12
327,"Orange, raw",1005,"Carbohydrate, by difference",205,G,11.75
328,"Orange, raw",1008,Energy,208,KCAL,47.0
329,"Orange, raw",1018,"Alcohol, ethyl",221,G,0.0
330,"Orange, raw",1051,Water,255,G,86.75
331,"Orange, raw",1057,Caffeine,262,MG,0.0
332,"Orange, raw",1058,Theobromine,263,MG,0.0
333,"Orange, raw",2000,"Sugars, total including NLEA",269,G,9.35
334,"Orange, raw",1079,"Fiber, total dietary",291,G,2.4
335,"Orange, raw",1087,"Calcium, Ca",301,MG,40.0
336,"Orange, raw",1089,"Iron, Fe",303,MG,0.1
337,"Orange, raw",1090,"Magnesium, Mg",304,MG,10.0
338,"Orange, raw",1091,"Phosphorus, P",305,MG,14.0
339,"Orange, raw",1092,"Potassium, K",306,MG,181.0
340,"Orange, raw",1093,"Sodium, Na",307,MG,0.0
341,"Orange, raw",1095,"Zinc, Zn",309,MG,0.07
342,"Orange, raw",1098,"Copper, Cu",312,MG,0.045
343,"Orange, raw",1103,"Selenium, Se",317,UG,0.5
344,"Orange, raw",1105,Retinol,319,UG,0.0
345,"Orange, raw",1106,"Vitamin A, RAE",320,UG,11.0
346,"Orange, raw",1107,"Carotene, beta",321,UG,71.0
347,"Orange, raw",1108,"Carotene, alpha",322,UG,11.0
348,"Orange, raw",1109,Vitamin E (alpha-tocopherol),323,MG,0.18
349,"Orange, raw",1114,Vitamin D (D2 + D3),328,UG,0.0
350,"Orange, raw",1120,"Cryptoxanthin, beta",334,UG,116.0
351,"Orange, raw",1122,Lycopene,337,UG,0.0
352,"Orange, raw",1123,Lutein + zeaxanthin,338,UG,129.0
353,"Orange, raw",1162,"Vitamin C, total ascorbic acid",401,MG,53.2
354,"Orange, raw",1165,Thiamin,404,MG,0.087
355,"Orange, raw",1166,Riboflavin,405,MG,0.04
356,"Orange, raw",1167,Niacin,406,MG,0.282
357,"Orange, raw",1175,Vitamin B-6,415,MG,0.06
358,"Orange, raw",1177,"Folate, total",417,UG,30.0
359,"Orange, raw",1178,Vitamin B-12,418,UG,0.0
360,"Orange, raw",1180,"Choline, total",421,MG,8.4
361,"Orange, raw",1185,Vitamin K (phylloquinone),430,UG,0.0
362,"Orange, raw",1186,Folic acid,431,UG,0.0
363,"Orange, raw",1187,"Folate, food",432,UG,30.0
364,"Orange, raw",1190,"Folate, DFE",435,UG,30.0
365,"Orange, raw",1242,"Vitamin E, added",573,MG,0.0
366,"Orange, raw",1246,"Vitamin B-12, added",578,UG,0.0
367,"Orange, raw",1253,Cholesterol,601,MG,0.0
368,"Orange, raw",1258,"Fatty acids, total saturated",606,G,0.015
369,"Orange, raw",1259,4:0,607,G,0.0
370,"Orange, raw",1260,6:0,608,G,0.0
371,"Orange, raw",1261,8:0,609,G,0.0
372,"Orange, raw",1262,10:0,610,G,0.0
373,"Orange, raw",1263,12:0,611,G,0.0
374,"Orange, raw",1264,14:0,612,G,0.0
375,"Orange, raw",1265,16:0,613,G,0.013
376,"Orange, raw",1266,18:0,614,G,0.0
377,"Orange, raw",1268,18:1,617,G,0.02
378,"Orange, raw",1269,18:2,618,G,0.018
379,"Orange, raw",1270,18:3,619,G,0.007
380,"Orange, raw",1271,20:4,620,G,0.0
381,"Orange, raw",1272,22:6 n-3 (DHA),621,G,0.0
382,"Orange, raw",1275,16:1,626,G,0.003
383,"Orange, raw",1276,18:4,627,G,0.0
384,"Orange, raw",1277,20:1,628,G,0.0
385,"Orange, raw",1278,20:5 n-3 (EPA),629,G,0.0
386,"Orange, raw",1279,22:1,630,G,0.0
387,"Orange, raw",1280,22:5 n-3 (DPA),631,G,0.0
388,"Orange, raw",1292,"Fatty acids, total monounsaturated",645,G,0.023
389,"Orange, raw",1293,"Fatty acids, total polyunsaturated",646,G,0.025
390,"Peach, raw",1003,Protein,203,G,0.91
391,"Peach, raw",1004,Total lipid (fat),204,G,0.25
392,"Peach, raw",1005,"Carbohydrate, by difference",205,G,9.54
393,"Peach, raw",1008,Energy,208,KCAL,39.0
394,"Peach, raw",1018,"Alcohol, ethyl",221,G,0.0
395,"Peach, raw",1051,Water,255,G,88.87
396,"Peach, raw",1057,Caffeine,262,MG,0.0
397,"Peach, raw",1058,Theobromine,263,MG,0.0
398,"Peach, raw",2000,"Sugars, total including NLEA",269,G,8.39
399,"Peach, raw",1079,"Fiber, total dietary",291,G,1.5
400,"Peach, raw",1087,"Calcium, Ca",301,MG,6.0
401,"Peach, raw",1089,"Iron, Fe",303,MG,0.25
402,"Peach, raw",1090,"Magnesium, Mg",304,MG,9.0
403,"Peach, raw",1091,"Phosphorus, P",305,MG,20.0
404,"Peach, raw",1092,"Potassium, K",306,MG,190.0
405,"Peach, raw",1093,"Sodium, Na",307,MG,0.0
406,"Peach, raw",1095,"Zinc, Zn",309,MG,0.17
407,"Peach, raw",1098,"Copper, Cu",312,MG,0.068
408,"Peach, raw",1103,"Selenium, Se",317,UG,0.1
409,"Peach, raw",1105,Retinol,319,UG,0.0
410,"Peach, raw",1106,"Vitamin A, RAE",320,UG,16.0
411,"Peach, raw",1107,"Carotene, beta",321,UG,162.0
412,"Peach, raw",1108,"Carotene, alpha",322,UG,0.0
413,"Peach, raw",1109,Vitamin E (alpha-tocopherol),323,MG,0.73
414,"Peach, raw",1114,Vitamin D (D2 + D3),328,UG,0.0
415,"Peach, raw",1120,"Cryptoxanthin, beta",334,UG,67.0
416,"Peach, raw",1122,Lycopene,337,UG,0.0
417,"Peach, raw",1123,Lutein + zeaxanthin,338,UG,91.0
418,"Peach, raw",1162,"Vitamin C, total ascorbic acid",401,MG,6.6
419,"Peach, raw",1165,Thiamin,404,MG,0.024
420,"Peach, raw",1166,Riboflavin,405,MG,0.031
421,"Peach, raw",1167,Niacin,406,MG,0.806
422,"Peach, raw",1175,Vitamin B-6,415,MG,0.025
423,"Peach, raw",1177,"Folate, total",417,UG,4.0
424,"Peach, raw",1178,Vitamin B-12,418,UG,0.0
425,"Peach, raw",1180,"Choline, total",421,MG,6.1
426,"Peach, raw",1185,Vitamin K (phylloquinone),430,UG,2.6
427,"Peach, raw",1186,Folic acid,431,UG,0.0
428,"Peach, raw",1187,"Folate, food",432,UG,4.0
429,"Peach, raw",1190,"Folate, DFE",435,UG,4.0
430,"Peach, raw",1242,"Vitamin E, added",573,MG,0.0
431,"Peach, raw",1246,"Vitamin B-12, added",578,UG,0.0
432,"Peach, raw",1253,Cholesterol,601,MG,0.0
433,"Peach, raw",1258,"Fatty acids, total saturated",606,G,0.019
434,"Peach, raw",1259,4:0,607,G,0.0
435,"Peach, raw",1260,6:0,608,G,0.0
436,"Peach, raw",1261,8:0,609,G,0.0
437,"Peach, raw",1262,10:0,610,G,0.0
438,"Peach, raw",1263,12:0,611,G,0.0
439,"Peach, raw",1264,14:0,612,G,0.0
440,"Peach, raw",1265,16:0,613,G,0.017
441,"Peach, raw",1266,18:0,614,G,0.002
442,"Peach, raw",1268,18:1,617,G,0.065
443,"Peach, raw",1269,18:2,618,G,0.084
444,"Peach, raw",1270,18:3,619,G,0.002
445,"Peach, raw",1271,20:4,620,G,0.0
446,"Peach, raw",1272,22:6 n-3 (DHA),621,G,0.0
447,"Peach, raw",1275,16:1,626,G,0.002
448,"Peach, raw",1276,18:4,627,G,0.0
449,"Peach, raw",1277,20:1,628,G,0.0
450,"Peach, raw",1278,20:5 n-3 (EPA),629,G,0.0
451,"Peach, raw",1279,22:1,630,G,0.0
452,"Peach, raw",1280,22:5 n-3 (DPA),631,G,0.0
453,"Peach, raw",1292,"Fatty acids, total monounsaturated",645,G,0.067
454,"Peach, raw",1293,"Fatty acids, total polyunsaturated",646,G,0.086
455,"Persimmon, raw",1003,Protein,203,G,0.58
456,"Persimmon, raw",1004,Total lipid (fat),204,G,0.19
