Food_description,Food_type,Calcium (mg),Carbohydrate (g),Cholesterol,Copper (mg),Energy (kcal),Saturated_fat (g),Fiber total dietary (g),Glucose (g),Iron (mg),Magnesium (mg),Phosphorus (mg),Potassium (mg),Protein (g),Sodium (mg),Starch (g),Sucrose (g),Sugar (g),Total Fat (g),Vitamin C (mg),Vitamin D (ug),Vitamin E (mg),Water (g),Zinc (mg)
Tamarind  dried,Dried fruits,67,66.21,,,254,0.245,4.6,,2.52,83,,565,2.52,25,,,44.9,0.57,0.6,,0.09,,
Raisins,Dried fruits,62,79.32,,,299,0.094,4.5,,1.79,36,,744,3.3,26,,,65.18,0.25,2.3,,0.12,,
Prune  dried,Dried fruits,43,63.88,,,240,0.088,7.1,,0.93,41,,732,2.18,2,,,38.13,0.38,0.6,,0.43,,
Pineapple  dried,Dried fruits,35,81.54,,,313,0.024,3.7,,0.79,32,,290,1.43,3,,,72.94,0.47,25.4,,0.05,,
Persimmon  dried,Dried fruits,22,96.07,,,366,0.053,9.6,,0.42,24,,429,1.54,3,,,80.06,0.66,4,,1.94,,
Fruit mixture  dried,Dried fruits,39,78.62,,,298,0.104,4.8,,1.3,24,,531,2.28,32,,,66.33,0.62,5.5,,1.52,,
Peach  dried,Dried fruits,28,61.33,,,239,0.082,8.2,,4.06,42,,996,3.61,7,,,41.74,0.76,4.8,,0.19,,
Apricot  dried,Dried fruits,55,62.64,,,241,0.017,7.3,,2.66,32,,1162,3.39,10,,,53.44,0.51,1,,4.33,,
Blueberries  dried,Dried fruits,19,80,,,317,0.2,7.5,,0.9,18,,214,2.5,3,,,67.5,2.5,23.8,,2.35,,
Currants  dried,Dried fruits,88,76.98,,,290,0.085,4.4,,1.88,36,,777,3.43,43,,,62.28,0.22,4.7,,0.11,,
Cranberries  dried,Dried fruits,9,82.8,,,308,0.088,5.3,,0.39,4,,49,0.17,5,,,72.56,1.09,0.2,,2.1,,
Cherries  dried,Dried fruits,38,80.45,,,333,0.146,2.5,,0.68,22,,376,1.25,13,,,67.15,0.73,19.3,,0.17,,
Date dried,Dried fruits,39,75.03,,,282,0.032,8,,1.02,43,,656,2.45,2,,,63.35,0.39,0.4,,0.05,,
Fig  dried,Dried fruits,162,63.9,,,249,0.144,9.8,,2.03,68,,680,3.3,10,,,47.9,0.92,1.2,,0.36,,
Mango  dried,Dried fruits,0,78.58,,,319,0.287,2.4,,0.23,20,,279,2.45,162,,,66.27,1.18,42.3,,4.02,,
Papaya  dried,Dried fruits,54,75.43,,,295,0.215,4.5,,0.69,56,,484,1.25,22,,,67.55,0.84,32.4,,0.8,,
Apple  dried,Dried fruits,14,65.89,,,243,0.052,8.7,,1.4,16,,450,0.93,87,,,57.19,0.32,3.9,,0.53,,
Pear  dried,Dried fruits,34,69.7,,,262,0.035,7.5,,2.1,33,,533,1.87,6,,,62.2,0.63,7,,0.06,,
Grapes   ,Fruits,10,18.1,,,69,0.054,0.9,,0.36,7,,191,0.72,2,,,15.48,0.16,3.2,,0.19,,
Cantaloupe   ,Melon,9,8.16,,,34,0.051,0.8,,0.38,13,,157,0.82,30,,,7.88,0.18,10.9,,0.05,,
Cassaba melon   ,Melon,11,6.58,,,28,0.025,0.9,,0.34,11,,182,1.11,9,,,5.69,0.1,21.8,,0.05,,
Honeydew melon   ,Melon,6,9.09,,,36,0.038,0.8,,0.17,10,,228,0.54,18,,,8.12,0.14,18,,0.02,,
Watermelon   ,Melon,7,7.55,,,30,0.016,0.4,,0.24,10,,112,0.61,1,,,6.2,0.15,8.1,,0.05,,
Pear  Asian   ,Fruits,4,10.65,,,42,0.012,3.6,,0,8,,121,0.5,0,,,7.05,0.23,3.8,,0.12,,
Pear   ,Fruits,9,15.23,,,57,0.022,3.1,,0.18,7,,116,0.36,1,,,9.75,0.14,4.3,,0.12,,
Pineapple   ,Fruits,13,13.12,,,50,0.009,1.4,,0.29,12,,109,0.54,1,,,9.85,0.12,47.8,,0.02,,
Tomatoes   ,Tomatoes,10,3.89,,,18,0.028,1.2,,0.27,11,,237,0.88,5,,,2.63,0.2,13.7,,0.54,,
Sun-dried tomatoes,Tomatoes,110,55.76,,,258,0.426,12.3,,9.09,194,,3427,14.11,107,,,37.59,2.97,39.2,,0.01,,
