Food_description,Food_type,Energy (kcal),Water (g),Sugar (g),Vitamin C (mg),Calcium (mg),Carbohydrate (g),Protein (g),Sodium (mg),Vitamin E (mg),Copper (mg),Iron (mg),Magnesium (mg),Phosphorus (mg),Potassium (mg),Zinc (mg),Total Fat (g),Saturated_fat (g),Fiber total dietary (g)
"Pumpkin seeds, unsalted",Nuts and seeds,574,2.03,1.29,1.8,52,14.71,29.84,18,0.56,1.275,8.07,550,1174,788,7.64,49.05,8.544,6.5
"Sunflower seeds, plain, unsalted",Nuts and seeds,582,1.2,2.73,1.4,70,24.07,19.33,3,26.1,1.83,3.8,129,1155,850,5.29,49.8,5.218999999999999,11.1
"Sunflower seeds, plain, salted",Nuts and seeds,575,1.19,2.7,1.4,70,23.78,19.1,462,25.79,1.808,3.76,127,1141,840,5.23,49.21,5.157,11.0
"Sunflower seeds, flavored",Nuts and seeds,567,1.15,5.55,1.3,68,25.92,18.45,612,24.92,1.7469999999999999,3.63,123,1103,812,5.05,47.56,4.9830000000000005,10.6
"Sunflower seeds, NFS",Nuts and seeds,582,1.2,2.73,1.4,70,24.07,19.33,3,26.1,1.83,3.8,129,1155,850,5.29,49.8,5.218999999999999,11.1
Sesame seeds,Nuts and seeds,631,3.75,0.48,0.0,60,11.73,20.45,47,1.68,1.4,6.36,345,667,370,6.73,61.21,9.055,11.6
Tahini,Nuts and seeds,595,3.05,0.49,0.0,426,21.19,17.0,115,0.25,1.61,8.95,95,732,414,4.62,53.76,7.529,9.3
Flax seeds,Nuts and seeds,534,6.96,1.55,0.6,255,28.88,18.29,30,0.31,1.22,5.73,392,642,813,4.34,42.16,3.6630000000000003,27.3
Mixed seeds,Nuts and seeds,580,1.41,2.37,1.5,66,21.73,21.96,7,19.72,1.6909999999999998,4.87,234,1160,834,5.88,49.61,6.05,10.0
Chia seeds,Nuts and seeds,534,6.96,1.55,0.6,255,28.88,18.29,30,0.31,1.22,5.73,392,642,813,4.34,42.16,3.6630000000000003,27.3
"Clementine, raw",Citrus fruits,53,85.17,10.58,26.7,37,13.34,0.81,2,0.2,0.042,0.15,12,20,166,0.07,0.31,0.039,1.8
"Grapefruit, raw",Citrus fruits,42,88.06,6.89,31.2,22,10.66,0.77,0,0.13,0.032,0.08,9,18,135,0.07,0.14,0.021,1.6
"Grapefruit, canned",Citrus fruits,36,89.85,8.75,21.8,15,9.15,0.58,2,0.09,0.067,0.41,10,10,132,0.09,0.1,0.013999999999999999,0.4
"Kumquat, raw",Citrus fruits,71,80.85,9.36,43.9,62,15.9,1.88,10,0.15,0.095,0.86,20,19,186,0.17,0.86,0.10300000000000001,6.5
