Food_description,Food_type,Energy (kcal),Water (g),Sugar (g),Vitamin C (mg),Calcium (mg),Carbohydrate (g),Protein (g),Sodium (mg),Vitamin E (mg),Copper (mg),Iron (mg),Magnesium (mg),Phosphorus (mg),Potassium (mg),Zinc (mg),Total Fat (g),Saturated_fat (g),Fiber total dietary (g)
"Seaweed, raw",Other vegetables and combinations,41,82.2,0.58,15.0,129,7.94,3.51,384,0.96,0.226,2.28,77,60,165,0.89,0.49,0.146,0.7
"Snowpeas, raw",Other vegetables and combinations,42,88.89,4.0,60.0,43,7.55,2.8,4,0.39,0.079,2.08,24,53,200,0.27,0.2,0.039,2.6
"Summer squash, yellow, raw",Other vegetables and combinations,19,94.28,2.88,19.3,21,3.88,1.01,2,0.13,0.092,0.44,20,32,222,0.29,0.27,0.09300000000000001,1.0
"Summer squash, green, raw",Other vegetables and combinations,17,94.79,2.5,17.9,16,3.11,1.21,8,0.12,0.053,0.37,18,38,261,0.32,0.32,0.084,1.0
"Turnip, raw",Other vegetables and combinations,28,91.87,3.8,21.0,30,6.43,0.9,67,0.03,0.085,0.3,11,27,191,0.27,0.1,0.011000000000000001,1.8
"Artichoke, fresh, cooked, no added fat",Other vegetables and combinations,53,83.83,0.99,7.4,21,11.91,2.88,176,0.19,0.127,0.61,42,73,285,0.4,0.34,0.079,5.7
"Artichoke, frozen, cooked, no added fat",Other vegetables and combinations,53,83.83,0.99,7.4,21,11.91,2.88,176,0.19,0.127,0.61,42,73,285,0.4,0.34,0.079,5.7
"Artichoke, canned, cooked, no added fat",Other vegetables and combinations,53,83.83,0.99,7.4,21,11.91,2.88,176,0.19,0.127,0.61,42,73,285,0.4,0.34,0.079,5.7
"Artichokes, NS as to form, cooked",Other vegetables and combinations,74,81.72,0.96,7.2,21,11.57,2.81,180,0.48,0.12300000000000001,0.59,41,71,277,0.39,2.87,0.797,5.5
"Artichoke, fresh, cooked, fat added",Other vegetables and combinations,74,81.72,0.96,7.2,21,11.57,2.81,180,0.48,0.12300000000000001,0.59,41,71,277,0.39,2.87,0.797,5.5
"Artichoke, frozen, cooked, fat added",Other vegetables and combinations,74,81.72,0.96,7.2,21,11.57,2.81,180,0.48,0.12300000000000001,0.59,41,71,277,0.39,2.87,0.797,5.5
"Artichoke, canned, cooked, fat added",Other vegetables and combinations,74,81.72,0.96,7.2,21,11.57,2.81,180,0.48,0.12300000000000001,0.59,41,71,277,0.39,2.87,0.797,5.5
"Asparagus, fresh, cooked, no added fat",Other vegetables and combinations,21,92.41,2.02,5.1,26,4.16,2.36,127,1.21,0.203,2.29,15,56,217,0.58,0.13,0.043,2.3
"Asparagus, frozen, cooked, no added fat",Other vegetables and combinations,18,93.82,0.32,24.3,18,1.91,2.94,119,1.2,0.105,0.56,10,49,171,0.41,0.42,0.096,1.6
"Asparagus, canned, cooked, no added fat",Other vegetables and combinations,19,93.98,1.06,16.6,16,2.46,2.14,287,1.22,0.096,1.83,10,43,172,0.4,0.65,0.147,1.6
"Asparagus, NS as to form, cooked",Other vegetables and combinations,45,89.86,1.96,5.0,25,4.04,2.3,133,1.49,0.19699999999999998,2.23,15,54,211,0.56,2.85,0.8170000000000001,2.2
"Asparagus, fresh, cooked, fat added, NS as to fat type",Other vegetables and combinations,45,89.86,1.96,5.0,25,4.04,2.3,133,1.49,0.19699999999999998,2.23,15,54,211,0.56,2.85,0.8170000000000001,2.2
"Asparagus, frozen, cooked, fat added, NS as to fat type",Other vegetables and combinations,40,91.42,0.31,23.6,18,1.86,2.86,125,1.46,0.102,0.55,10,48,167,0.4,2.94,0.8140000000000001,1.5
"Asparagus, canned, cooked, fat added, NS as to fat type",Other vegetables and combinations,41,91.57,1.03,16.1,16,2.39,2.09,288,1.48,0.09300000000000001,1.78,10,42,167,0.39,3.18,0.866,1.6
"Asparagus, fresh, cooked with oil",Other vegetables and combinations,48,89.51,1.96,5.0,25,4.04,2.29,123,1.54,0.19699999999999998,2.23,15,54,210,0.56,3.25,0.469,2.2
"Asparagus, fresh, cooked with butter or margarine",Other vegetables and combinations,41,90.22,1.96,5.0,26,4.05,2.31,144,1.45,0.19699999999999998,2.23,15,55,211,0.56,2.46,1.165,2.2
"Asparagus, frozen, cooked with oil",Other vegetables and combinations,43,91.1,0.31,23.6,18,1.86,2.86,115,1.5,0.102,0.55,10,47,167,0.4,3.31,0.49,1.5
"Asparagus, frozen, cooked with butter or margarine",Other vegetables and combinations,37,91.75,0.31,23.6,18,1.87,2.87,135,1.41,0.102,0.54,10,48,167,0.4,2.58,1.137,1.5
"Asparagus, canned, cooked with oil",Other vegetables and combinations,44,91.24,1.03,16.1,16,2.39,2.08,279,1.53,0.09300000000000001,1.78,10,42,167,0.39,3.54,0.541,1.6
"Asparagus, canned, cooked with butter or margarine",Other vegetables and combinations,38,91.9,1.03,16.1,16,2.4,2.09,298,1.44,0.09300000000000001,1.78,10,42,168,0.39,2.81,1.19,1.6
"Bamboo shoots, cooked",Other vegetables and combinations,41,91.9,1.84,1.0,8,3.13,1.68,16,0.91,0.111,0.31,4,25,78,0.63,2.93,0.812,1.4
"Lima beans, from frozen, no added fat",Other starchy vegetables,103,72.76,1.34,12.8,30,19.26,6.05,185,0.29,0.16899999999999998,1.82,42,97,303,0.74,0.34,0.077,5.3
"Lima beans, from frozen, fat added",Other starchy vegetables,122,70.98,1.3,12.4,29,18.71,5.88,189,0.58,0.165,1.76,41,94,295,0.72,2.87,0.795,5.1
"Lima beans, from canned",Other starchy vegetables,122,70.64,1.29,12.3,30,18.62,5.86,374,0.57,0.16399999999999998,1.76,40,94,293,0.71,2.85,0.792,5.1
"Green beans, cooked, from restaurant",String beans,69,85.57,3.22,10.2,37,6.89,1.82,213,0.91,0.068,1.02,25,38,209,0.24,4.53,1.275,2.7
"Green beans, fresh, cooked, no added fat",String beans,32,89.64,3.39,10.8,39,7.24,1.9,127,0.43,0.07200000000000001,1.07,26,39,219,0.25,0.23,0.052000000000000005,2.8
"Green beans, frozen, cooked, no added fat",String beans,28,91.15,1.87,4.1,42,6.43,1.49,117,0.04,0.059000000000000004,0.66,19,29,159,0.24,0.17,0.044000000000000004,3.0
"Green beans, canned, cooked, no added fat",String beans,21,93.6,1.29,2.5,36,4.11,1.04,282,0.03,0.040999999999999995,0.78,13,23,97,0.19,0.39,0.09300000000000001,1.9
"Green beans, NS as to form, cooked",String beans,49,89.23,2.27,6.5,37,5.52,1.44,208,0.52,0.055,0.9,19,31,154,0.21,2.89,0.807,2.3
"Green beans, fresh, cooked, fat added, NS as to fat type",String beans,55,87.26,3.29,10.5,38,7.03,1.85,133,0.72,0.07,1.04,25,39,213,0.24,2.86,0.8009999999999999,2.7
"Green beans, frozen, cooked, fat added, NS as to fat type",String beans,50,88.83,1.82,4.0,41,6.25,1.45,123,0.33,0.057,0.64,18,28,154,0.23,2.7,0.763,2.9
"Green beans, canned, cooked, fat added, NS as to fat type",String beans,43,91.2,1.25,2.4,35,4.0,1.02,283,0.33,0.04,0.76,12,23,95,0.18,2.92,0.813,1.8
"Green beans, fresh, cooked with oil",String beans,58,86.91,3.29,10.5,37,7.03,1.84,123,0.77,0.07,1.04,25,38,213,0.24,3.25,0.46399999999999997,2.7
"Green beans, fresh, cooked with butter or margarine",String beans,51,87.6,3.29,10.5,38,7.04,1.86,143,0.67,0.07,1.04,25,39,214,0.24,2.48,1.138,2.7
"Green beans, frozen, cooked with oil",String beans,53,88.5,1.82,4.0,41,6.24,1.44,113,0.38,0.057,0.64,18,28,154,0.23,3.07,0.44,2.9
"Green beans, frozen, cooked with butter or margarine",String beans,46,89.16,1.82,4.0,41,6.26,1.46,133,0.29,0.057,0.64,18,29,155,0.23,2.33,1.087,2.9
"Green beans, canned, cooked with oil",String beans,46,90.87,1.25,2.4,35,3.99,1.01,274,0.37,0.04,0.76,12,22,94,0.18,3.29,0.489,1.8
"Green beans, canned, cooked with butter or margarine",String beans,40,91.53,1.25,2.4,36,4.0,1.03,293,0.28,0.04,0.76,12,23,95,0.19,2.55,1.138,1.8
"Green beans, canned, reduced sodium, cooked, no added fat",String beans,22,93.38,0.78,2.5,38,4.32,1.12,2,0.03,0.034,1.06,13,20,96,0.2,0.46,0.10300000000000001,1.9
"Green beans, canned, reduced sodium, cooked, fat added, NS as to fat type",String beans,44,90.99,0.76,2.4,37,4.2,1.1,12,0.33,0.033,1.03,13,20,94,0.2,2.99,0.823,1.8
"Green beans, canned, reduced sodium, cooked with oil",String beans,47,90.66,0.76,2.4,37,4.19,1.09,2,0.37,0.033,1.03,13,19,93,0.19,3.36,0.498,1.8
"Green beans, canned, reduced sodium, cooked with butter or margarine",String beans,41,91.32,0.76,2.4,38,4.2,1.1,21,0.28,0.033,1.03,13,20,94,0.2,2.62,1.148,1.8
"Yellow string beans, cooked",String beans,50,88.83,1.82,3.4,48,6.25,1.45,131,0.33,0.059000000000000004,0.86,23,30,122,0.47,2.7,0.763,2.9
"Bean sprouts, cooked",Other vegetables and combinations,116,75.81,2.83,6.3,56,6.08,9.8,127,0.5,0.256,2.8,48,132,299,0.78,6.92,1.361,3.3
"Beets, fresh, cooked, no added fat",Other vegetables and combinations,45,86.79,7.02,4.3,17,9.93,1.67,202,0.04,0.078,0.83,24,42,338,0.36,0.18,0.027999999999999997,2.9
"Beets, canned, cooked, no added fat",Other vegetables and combinations,31,90.96,5.51,3.7,15,7.21,0.91,194,0.03,0.059000000000000004,1.82,17,17,148,0.21,0.14,0.022000000000000002,1.8
"Beets, NS as to form, cooked",Other vegetables and combinations,53,88.64,5.35,3.6,15,7.0,0.89,198,0.33,0.057,1.77,17,17,144,0.2,2.68,0.7440000000000001,1.7
"Beets, fresh, cooked, fat added",Other vegetables and combinations,67,84.49,6.82,4.2,17,9.65,1.63,206,0.35,0.076,0.81,23,41,328,0.35,2.81,0.778,2.8
"Beets, canned, cooked, fat added",Other vegetables and combinations,53,88.64,5.35,3.6,15,7.0,0.89,198,0.33,0.057,1.77,17,17,144,0.2,2.68,0.7440000000000001,1.7
"Beets, canned, reduced sodium, cooked",Other vegetables and combinations,53,88.6,5.56,2.6,14,6.79,0.84,32,0.35,0.1,0.65,17,17,147,0.24,2.78,0.78,1.2
"Bitter melon, cooked",Other vegetables and combinations,41,91.28,1.89,31.9,9,4.19,0.82,128,0.43,0.032,0.37,16,35,309,0.75,2.71,0.7340000000000001,1.9
"Breadfruit, cooked",Other starchy vegetables,122,68.72,10.65,23.9,17,26.26,1.04,124,0.39,0.081,0.52,24,29,475,0.12,2.76,0.767,4.7
"Broccoflower, cooked",Other vegetables and combinations,55,86.72,3.06,75.5,34,6.15,2.98,150,0.35,0.040999999999999995,0.74,20,63,303,0.65,2.94,0.7979999999999999,3.2
"Brussels sprouts, fresh, cooked, no added fat",Other vegetables and combinations,45,85.15,2.28,75.0,44,9.3,3.51,147,0.91,0.073,1.45,24,72,404,0.44,0.31,0.064,3.9
"Brussels sprouts, frozen, cooked, no added fat",Other vegetables and combinations,42,86.48,2.07,45.6,26,8.3,3.63,131,0.51,0.034,0.48,18,56,289,0.24,0.39,0.081,4.1
"Brussels sprouts, NS as to form, cooked",Other vegetables and combinations,67,82.9,2.22,72.9,43,9.03,3.42,152,1.2,0.071,1.42,23,70,393,0.42,2.94,0.813,3.8
"Brussels sprouts, fresh, cooked, fat added",Other vegetables and combinations,67,82.9,2.22,72.9,43,9.03,3.42,152,1.2,0.071,1.42,23,70,393,0.42,2.94,0.813,3.8
"Brussels sprouts, frozen, cooked, fat added",Other vegetables and combinations,63,84.3,2.01,44.2,26,8.06,3.53,137,0.79,0.033,0.47,17,54,281,0.23,2.91,0.799,4.0
"Burdock, cooked",Other vegetables and combinations,99,76.19,3.02,2.7,43,18.06,1.6,136,0.71,0.08,0.84,40,53,321,0.34,2.88,0.8009999999999999,3.4
"Cactus, cooked, no added fat",Other vegetables and combinations,16,93.84,1.15,7.9,164,3.32,1.32,137,0.0,0.052000000000000005,0.59,52,16,256,0.25,0.09,0.016,2.2
"Cactus, cooked, fat added",Other vegetables and combinations,38,91.44,1.11,7.7,159,3.23,1.29,142,0.3,0.05,0.57,50,16,249,0.24,2.62,0.736,2.1
"Cauliflower, fresh, cooked, no added fat",Other vegetables and combinations,26,91.45,1.98,42.5,23,5.16,1.99,152,0.08,0.040999999999999995,0.44,16,46,311,0.28,0.29,0.135,2.1
"Cauliflower, frozen, cooked, no added fat",Other vegetables and combinations,19,93.72,1.05,31.2,17,3.74,1.6,134,0.06,0.024,0.41,9,24,139,0.13,0.22,0.034,2.7
"Cauliflower, NS as to form, cooked",Other vegetables and combinations,49,89.02,1.93,41.3,23,5.02,1.94,157,0.39,0.039,0.43,15,45,302,0.27,2.92,0.882,2.0
"Cauliflower, fresh, cooked, fat added, NS as to fat type",Other vegetables and combinations,49,89.02,1.93,41.3,23,5.02,1.94,157,0.39,0.039,0.43,15,45,302,0.27,2.92,0.882,2.0
"Cauliflower, frozen, cooked, fat added, NS as to fat type",Other vegetables and combinations,41,91.33,1.02,30.3,17,3.64,1.57,139,0.35,0.023,0.4,9,24,135,0.13,2.75,0.754,2.6
"Cauliflower, fresh, cooked with oil",Other vegetables and combinations,52,88.68,1.93,41.3,22,5.01,1.94,147,0.44,0.039,0.43,15,44,302,0.27,3.31,0.545,2.0
"Cauliflower, fresh, cooked with butter or margarine",Other vegetables and combinations,45,89.36,1.93,41.3,23,5.02,1.95,167,0.34,0.039,0.42,15,45,302,0.27,2.54,1.219,2.0
"Cauliflower, frozen, cooked with oil",Other vegetables and combinations,44,91.0,1.02,30.3,17,3.63,1.56,130,0.4,0.023,0.4,9,23,135,0.13,3.12,0.43,2.6
"Cauliflower, frozen, cooked with butter or margarine",Other vegetables and combinations,38,91.66,1.02,30.3,17,3.64,1.58,149,0.31,0.023,0.4,9,24,135,0.13,2.38,1.077,2.6
"Celery, cooked",Other vegetables and combinations,39,92.16,1.4,2.7,42,3.1,0.73,214,0.6,0.036000000000000004,0.21,11,25,271,0.14,2.9,0.8190000000000001,1.7
"Fennel bulb, cooked",Other vegetables and combinations,62,85.48,4.48,11.6,56,8.32,1.42,203,1.01,0.075,0.84,19,57,472,0.23,3.21,0.951,3.5
"Christophine, cooked",Other vegetables and combinations,44,90.92,1.73,6.8,18,4.7,0.86,133,0.44,0.128,0.36,13,19,131,0.77,2.86,0.804,1.8
"Corn, cooked, from restaurant",Corn,118,72.62,5.94,5.5,3,17.73,3.11,213,0.55,0.051,0.5,35,85,257,0.44,5.42,1.484,1.9
"Corn, fresh, cooked, no added fat",Corn,86,75.82,6.24,5.8,2,18.64,3.26,131,0.07,0.054000000000000006,0.52,37,89,269,0.46,1.35,0.324,2.0
"Corn, frozen, cooked, no added fat",Corn,81,76.8,3.06,3.5,3,19.24,2.54,117,0.07,0.048,0.47,28,79,232,0.63,0.67,0.10300000000000001,2.4
"Corn, canned, cooked, no added fat",Corn,67,81.41,4.44,1.6,3,14.34,2.29,205,0.09,0.033,0.27,13,46,132,0.32,1.22,0.245,2.0
"Corn, NS as to form, cooked",Corn,88,79.37,4.31,1.6,3,13.93,2.23,209,0.38,0.032,0.26,13,45,129,0.31,3.73,0.961,1.9
"Corn, fresh, cooked, fat added, NS as to fat type",Corn,106,73.95,6.06,5.6,2,18.11,3.17,137,0.36,0.052000000000000005,0.51,36,86,262,0.45,3.84,1.035,1.9
"Corn, frozen, cooked, fat added, NS as to fat type",Corn,101,74.9,2.97,3.4,3,18.69,2.48,123,0.36,0.046,0.46,27,77,226,0.61,3.18,0.821,2.3
"Corn, canned, cooked, fat added, NS as to fat type",Corn,88,79.37,4.31,1.6,3,13.93,2.23,209,0.38,0.032,0.26,13,45,129,0.31,3.73,0.961,1.9
"Corn, fresh, cooked with oil",Corn,109,73.62,6.06,5.6,2,18.1,3.17,127,0.41,0.052000000000000005,0.51,36,86,261,0.44,4.21,0.7120000000000001,1.9
"Corn, fresh, cooked with butter or margarine",Corn,102,74.28,6.06,5.6,3,18.11,3.18,146,0.32,0.052000000000000005,0.5,36,87,262,0.45,3.48,1.359,1.9
"Corn, frozen, cooked with oil",Corn,104,74.57,2.97,3.4,3,18.68,2.47,113,0.41,0.046,0.46,27,76,226,0.61,3.55,0.49700000000000005,2.3
"Corn, frozen, cooked with butter or margarine",Corn,98,75.23,2.97,3.4,4,18.69,2.48,133,0.32,0.046,0.46,27,77,226,0.61,2.82,1.1440000000000001,2.3
"Corn, canned, cooked with oil",Corn,91,79.04,4.31,1.6,3,13.92,2.22,199,0.43,0.032,0.27,13,45,128,0.31,4.1,0.636,1.9
"Corn, canned, cooked with butter or margarine",Corn,84,79.7,4.31,1.6,4,13.93,2.24,218,0.34,0.032,0.26,13,45,129,0.31,3.36,1.285,1.9
"Corn, creamed",Corn,72,78.73,3.23,4.1,3,18.13,1.74,261,0.07,0.052000000000000005,0.38,17,51,134,0.53,0.42,0.065,1.2
"Corn, canned, reduced sodium, cooked, no added fat",Corn,66,81.3,4.46,2.5,4,14.9,2.1,13,0.03,0.03,0.39,16,49,146,0.42,0.83,0.083,1.8
"Corn, canned, reduced sodium, cooked, fat added, NS as to fat type",Corn,88,79.07,4.33,2.4,5,14.48,2.04,23,0.35,0.028999999999999998,0.38,16,48,142,0.41,3.54,0.858,1.8
"Corn, canned, reduced sodium, cooked with oil",Corn,91,78.71,4.33,2.4,4,14.47,2.04,13,0.4,0.028999999999999998,0.38,16,48,142,0.41,3.94,0.509,1.8
"Corn, canned, reduced sodium, cooked with butter or margarine",Corn,84,79.42,4.33,2.4,5,14.48,2.05,33,0.3,0.028999999999999998,0.38,16,49,143,0.41,3.14,1.207,1.8
"Cucumber, cooked",Other vegetables and combinations,44,91.2,1.9,2.7,19,4.14,0.75,146,0.38,0.047,0.32,15,28,168,0.23,3.11,0.89,0.6
"Eggplant, cooked, no added fat",Other vegetables and combinations,27,91.42,3.78,2.0,10,6.3,1.05,127,0.32,0.087,0.25,15,26,246,0.17,0.19,0.036000000000000004,3.2
"Eggplant, cooked, fat added",Other vegetables and combinations,50,88.9,3.68,1.9,10,6.13,1.03,133,0.63,0.084,0.24,15,25,239,0.17,2.92,0.8109999999999999,3.1
"Flowers or blossoms of sesbania, squash, or lily, cooked",Other vegetables and combinations,37,92.49,2.32,4.8,36,3.2,1.06,128,0.33,0.09699999999999999,0.86,24,33,103,0.1,2.61,0.7609999999999999,0.9
"Kohlrabi, cooked",Other vegetables and combinations,51,87.94,2.62,53.1,25,6.26,1.72,147,0.79,0.13,0.41,19,47,353,0.03,2.74,0.764,3.6
"Lotus root, cooked",Other vegetables and combinations,86,79.15,0.48,26.5,26,15.51,1.54,166,0.3,0.21,0.87,21,76,352,0.32,2.6,0.741,3.0
"Mushrooms, fresh, cooked, no added fat",Other vegetables and combinations,27,90.22,2.47,2.2,4,4.06,3.85,151,0.01,0.396,0.62,11,107,396,0.65,0.42,0.062,1.2
"Mushrooms, NS as to form, cooked",Other vegetables and combinations,55,87.28,2.4,2.2,4,3.95,3.75,159,0.38,0.385,0.61,11,104,385,0.63,3.58,0.9620000000000001,1.2
"Mushrooms, fresh, cooked, fat added, NS as to fat type",Other vegetables and combinations,55,87.28,2.4,2.2,4,3.95,3.75,159,0.38,0.385,0.61,11,104,385,0.63,3.58,0.9620000000000001,1.2
"Mushrooms, canned, cooked",Other vegetables and combinations,47,88.76,2.27,0.0,11,4.95,1.82,422,0.31,0.228,0.77,15,64,126,0.7,2.82,0.76,2.3
"Mushrooms, fresh, cooked with oil",Other vegetables and combinations,59,86.87,2.4,2.2,4,3.94,3.74,147,0.44,0.385,0.61,11,104,385,0.63,4.04,0.557,1.2
"Mushrooms, fresh, cooked with butter or margarine",Other vegetables and combinations,51,87.69,2.4,2.2,5,3.96,3.76,171,0.32,0.385,0.61,11,105,386,0.63,3.12,1.3659999999999999,1.2
"Mushroom, Asian, cooked, from dried",Other vegetables and combinations,56,83.23,3.83,0.3,3,14.35,1.56,120,0.0,0.893,0.44,14,29,117,1.33,0.22,0.05,2.1
"Okra, fresh, cooked, no added fat",Other vegetables and combinations,35,88.51,1.59,21.0,88,7.99,2.07,132,0.29,0.11699999999999999,0.66,61,65,321,0.62,0.2,0.027999999999999997,3.4
"Okra, frozen, cooked, no added fat",Other vegetables and combinations,29,90.85,2.86,9.6,74,6.39,1.62,119,0.32,0.076,0.52,40,37,183,0.49,0.24,0.063,2.1
"Okra, NS as to form, cooked",Other vegetables and combinations,59,86.07,1.54,20.4,86,7.76,2.02,139,0.6,0.113,0.65,59,64,312,0.6,2.92,0.802,3.3
"Okra, fresh, cooked, fat added",Other vegetables and combinations,59,86.07,1.54,20.4,86,7.76,2.02,139,0.6,0.113,0.65,59,64,312,0.6,2.92,0.802,3.3
"Okra, frozen, cooked, fat added",Other vegetables and combinations,51,88.54,2.78,9.3,72,6.21,1.59,125,0.6,0.07400000000000001,0.51,39,36,178,0.48,2.77,0.782,2.0
"Luffa, cooked",Other vegetables and combinations,59,86.07,1.54,20.4,86,7.76,2.02,139,0.6,0.113,0.65,59,64,312,0.6,2.92,0.802,3.3
"Palm hearts, cooked",Other vegetables and combinations,134,67.61,16.61,6.6,18,24.8,2.62,136,0.78,0.623,1.64,10,136,1749,3.61,2.73,0.765,1.5
"Parsnips, cooked",Other vegetables and combinations,91,78.01,4.65,12.6,36,16.47,1.29,132,1.26,0.134,0.56,28,67,356,0.25,2.83,0.769,3.5
"Blackeyed peas, from frozen",Other starchy vegetables,150,64.32,4.32,2.5,23,23.01,8.23,127,0.59,0.17800000000000002,2.06,48,118,363,1.38,3.18,0.89,6.2
"Blackeyed peas, from canned",Other starchy vegetables,150,64.01,4.3,2.5,23,22.9,8.19,313,0.58,0.177,2.04,48,118,362,1.37,3.16,0.8859999999999999,6.2
"Green peas, cooked, from restaurant",Other starchy vegetables,118,74.26,5.6,33.6,25,14.28,5.37,212,0.63,0.174,1.46,33,107,242,1.23,4.71,1.296,5.6
"Green peas, fresh, cooked, no added fat",Other starchy vegetables,84,77.74,5.89,35.3,26,15.01,5.63,126,0.14,0.183,1.53,34,112,253,1.29,0.42,0.07400000000000001,5.9
"Green peas, frozen, cooked, no added fat",Other starchy vegetables,78,79.28,4.39,9.9,24,14.22,5.14,188,0.03,0.105,1.52,22,77,110,0.67,0.27,0.049,4.5
"Green peas, canned, cooked, no added fat",Other starchy vegetables,68,82.29,2.99,3.8,23,11.36,4.47,273,0.38,0.106,1.18,18,67,106,0.66,0.8,0.14300000000000002,4.9
"Green peas, NS as to form, cooked",Other starchy vegetables,98,77.31,4.26,9.6,24,13.81,4.99,192,0.32,0.102,1.47,21,75,107,0.65,2.8,0.768,4.4
"Green peas, fresh, cooked, fat added, NS as to fat type",Other starchy vegetables,105,75.7,5.72,34.3,26,14.58,5.47,132,0.44,0.177,1.48,33,109,246,1.25,3.05,0.823,5.7
"Green peas, frozen, cooked, fat added, NS as to fat type",Other starchy vegetables,98,77.31,4.26,9.6,24,13.81,4.99,192,0.32,0.102,1.47,21,75,107,0.65,2.8,0.768,4.4
"Green peas, canned, cooked, fat added, NS as to fat type",Other starchy vegetables,89,80.22,2.9,3.7,23,11.03,4.35,275,0.66,0.10300000000000001,1.15,18,65,103,0.64,3.32,0.862,4.8
"Green peas, fresh, cooked with oil",Other starchy vegetables,108,75.36,5.72,34.3,25,14.57,5.46,122,0.49,0.177,1.49,33,109,246,1.25,3.43,0.485,5.7
"Green peas, fresh, cooked with butter or margarine",Other starchy vegetables,102,76.04,5.72,34.3,26,14.58,5.48,142,0.39,0.177,1.48,33,110,247,1.25,2.66,1.16,5.7
"Green peas, frozen, cooked with oil",Other starchy vegetables,101,76.98,4.26,9.6,23,13.8,4.99,182,0.37,0.102,1.48,21,75,106,0.65,3.17,0.445,4.4
"Green peas, frozen, cooked with butter or margarine",Other starchy vegetables,95,77.64,4.26,9.6,24,13.82,5.0,201,0.28,0.102,1.47,21,75,107,0.65,2.43,1.092,4.4
"Green peas, canned, cooked with oil",Other starchy vegetables,92,79.89,2.9,3.7,22,11.03,4.34,265,0.71,0.10300000000000001,1.15,17,65,103,0.64,3.69,0.537,4.8
"Green peas, canned, cooked with butter or margarine",Other starchy vegetables,85,80.55,2.9,3.7,23,11.04,4.36,284,0.62,0.10300000000000001,1.15,18,66,104,0.64,2.95,1.186,4.8
"Green peas, canned, reduced sodium, cooked, no added fat",Other starchy vegetables,66,82.4,4.0,11.0,22,12.19,3.99,11,0.02,0.135,1.27,21,66,125,0.88,0.38,0.068,4.1
"Green peas, canned, reduced sodium, cooked, fat added, NS as to fat type",Other starchy vegetables,92,79.68,3.88,10.7,22,11.84,3.88,23,0.4,0.131,1.24,21,65,122,0.85,3.54,0.9690000000000001,4.0
"Green peas, canned, reduced sodium, cooked with oil",Other starchy vegetables,97,79.27,3.88,10.7,22,11.83,3.87,11,0.45,0.131,1.24,21,64,121,0.85,4.0,0.563,4.0
"Green peas, canned, reduced sodium, cooked with butter or margarine",Other starchy vegetables,88,80.1,3.88,10.7,23,11.85,3.89,35,0.34,0.131,1.24,21,65,122,0.85,3.08,1.375,4.0
"Peppers, green, cooked",Other vegetables and combinations,44,90.86,2.42,68.9,11,4.68,0.88,130,0.68,0.067,0.35,10,20,177,0.13,2.81,0.809,1.7
"Peppers, red, cooked",Other red and orange vegetables,50,89.16,4.24,109.5,8,6.09,1.01,131,1.9,0.017,0.44,12,27,213,0.25,2.94,0.81,2.1
"Daikon radish, cooked",Other vegetables and combinations,38,92.56,1.8,12.2,25,3.3,0.67,160,0.3,0.048,0.33,10,20,226,0.27,2.63,0.752,1.5
"Rutabaga, cooked",Other vegetables and combinations,63,85.92,4.64,22.1,45,8.98,1.13,144,0.63,0.033,0.46,21,55,318,0.25,2.89,0.8029999999999999,2.4
"Salsify, cooked",Other vegetables and combinations,88,78.74,2.81,4.5,46,14.88,2.65,138,0.48,0.068,0.54,17,54,274,0.29,2.7,0.7609999999999999,3.0
"Snowpea, fresh, cooked, no added fat",Other vegetables and combinations,44,88.15,4.15,53.0,45,7.84,2.91,125,0.4,0.08199999999999999,2.16,25,55,208,0.28,0.21,0.040999999999999995,2.7
"Snowpea, frozen, cooked, no added fat",Other vegetables and combinations,52,86.34,4.81,21.9,59,8.99,3.49,121,0.47,0.09,2.39,28,58,216,0.49,0.38,0.073,3.1
"Snowpea, NS as to form, cooked",Other vegetables and combinations,66,85.81,4.03,51.4,44,7.62,2.83,131,0.7,0.08,2.1,24,54,202,0.27,2.84,0.79,2.6
"Snowpea, fresh, cooked, fat added",Other vegetables and combinations,66,85.81,4.03,51.4,44,7.62,2.83,131,0.7,0.08,2.1,24,54,202,0.27,2.84,0.79,2.6
"Snowpea, frozen, cooked, fat added",Other vegetables and combinations,73,84.16,4.67,21.3,58,8.74,3.4,127,0.75,0.087,2.33,27,56,210,0.48,2.9,0.792,3.0
"Seaweed, cooked, no added fat",Other vegetables and combinations,41,82.2,0.58,12.8,129,7.94,3.51,384,0.96,0.226,2.28,77,60,165,0.89,0.49,0.146,0.7
"Seaweed, cooked, fat added",Other vegetables and combinations,63,80.11,0.56,12.4,126,7.71,3.41,383,1.23,0.21899999999999997,2.21,74,59,161,0.86,3.05,0.872,0.7
"Summer squash, yellow or green, fresh, cooked, no added fat",Other vegetables and combinations,21,93.24,3.16,18.5,22,4.1,1.3,142,0.15,0.085,0.48,22,41,283,0.36,0.35,0.10400000000000001,1.2
"Summer squash, yellow or green, frozen, cooked, no added fat",Other vegetables and combinations,21,93.21,2.0,5.2,19,4.54,1.21,120,0.14,0.06,0.5,20,33,223,0.27,0.16,0.033,1.3
"Summer squash, yellow or green, canned, cooked, no added fat",Other vegetables and combinations,13,95.28,1.18,2.4,12,2.94,0.6,312,0.12,0.079,0.7,13,21,95,0.29,0.07,0.015,1.4
