Food_description,Food_type,Energy (kcal),Protein (g),Carbohydrate (g),Sugars(g),"Fiber, total dietary (g)",Total Fat (g),Saturated_fat,Cholesterol (mg),Vitamin C (mg),Vitamin_D (mcg),Vitamin_E (mg),Calcium (mg),Magnesium (mg),Iron (mg),Potassium (mg),Sodium (mg),Caffeine (mg),Copper (mg),Phosphorus (mg),Water (g),Zinc (mg)
Cucumber ,Other vegetables and combinations,15,0.65,3.63,1.67,0.5,0.11,0.037,0,2.8,0,0.03,16,13,0.28,147,2,0,0.041,24,95.23,0.2
Eggplant ,Other vegetables and combinations,25,0.98,5.88,3.53,3,0.18,0.034,0,2.2,0,0.3,9,14,0.23,229,2,0,0.081,24,92.3,0.16
Jicama ,Other vegetables and combinations,38,0.72,8.82,1.8,4.9,0.09,0.021,0,20.2,0,0.46,12,12,0.6,150,4,0,0.048,18,90.07,0.16
Cactus ,Other vegetables and combinations,16,1.32,3.33,1.15,2.2,0.09,0.016,0,9.3,0,0,164,52,0.59,257,21,0,0.052,16,94.12,0.25
Mushrooms ,Other vegetables and combinations,22,3.09,3.26,1.98,1,0.34,0.05,0,2.1,0.2,0.01,3,9,0.5,318,5,0,0.318,86,92.45,0.52
Pepper poblano ,Other vegetables and combinations,20,0.86,4.64,2.4,1.7,0.17,0.058,0,80.4,0,0.37,10,10,0.34,175,3,0,0.066,20,93.89,0.13
Kohlrabi ,Other vegetables and combinations,27,1.7,6.2,2.6,3.6,0.1,0.013,0,62,0,0.48,24,19,0.4,350,20,0,0.129,46,91,0.03
Pepper Serrano ,Other vegetables and combinations,32,1.74,6.7,3.83,3.7,0.44,0.059,0,44.9,0,0.69,11,22,0.86,305,10,0,0.129,40,90.25,0.26
Avocado ,Other vegetables and combinations,160,2,8.53,0.66,6.7,14.66,2.126,0,10,0,2.07,12,29,0.55,485,7,0,0.19,52,73.23,0.64
Turnip ,Other vegetables and combinations,28,0.9,6.43,3.8,1.8,0.1,0.011,0,21,0,0.03,30,11,0.3,191,67,0,0.085,27,91.87,0.27
Summer squash green ,Other vegetables and combinations,17,1.21,3.11,2.5,1,0.32,0.084,0,17.9,0,0.12,16,18,0.37,261,8,0,0.053,38,94.79,0.32
Summer squash yellow ,Other vegetables and combinations,19,1.01,3.88,2.88,1,0.27,0.093,0,19.3,0,0.13,21,20,0.44,222,2,0,0.092,32,94.28,0.29
Snowpeas ,Other vegetables and combinations,42,2.8,7.55,4,2.6,0.2,0.039,0,60,0,0.39,43,24,2.08,200,4,0,0.079,53,88.89,0.27
Seaweed ,Other vegetables and combinations,41,3.51,7.94,0.58,0.7,0.49,0.146,0,15,0,0.96,129,77,2.28,165,384,0,0.226,60,82.2,0.89
Rutabaga ,Other vegetables and combinations,37,1.08,8.62,4.46,2.3,0.16,0.027,0,25,0,0.3,43,20,0.44,305,12,0,0.032,53,89.43,0.24
Radish ,Other vegetables and combinations,16,0.68,3.4,1.86,1.6,0.1,0.032,0,14.8,0,0,25,10,0.34,233,39,0,0.05,20,95.27,0.28
Pepper banana ,Other vegetables and combinations,27,1.66,5.35,1.95,3.4,0.45,0.048,0,82.7,0,0.69,14,17,0.46,256,13,0,0.094,32,91.81,0.25
Pepper  ,Other vegetables and combinations,22,0.91,5.13,3.03,1.8,0.22,0.058,0,97,0,0.79,9,11,0.37,188,3,0,0.049,22,93.3,0.17
